tSNE1,tSNE2
1.67546,-43.53153
131.6736,8.411281
-49.551823,-74.98621
6.512604,-13.731744
109.76492,-56.18072
-80.76464,-35.802505
1.3863977,-30.966864
-67.710945,-19.856419
22.038918,21.046623
5.077976,-93.02788
33.38465,-76.74733
-15.322958,23.365278
-0.2201993,-75.77816
115.42345,-22.696442
-83.46916,-89.9961
-25.382652,-139.30887
13.8692875,4.7865057
17.385382,16.150179
-2.4302213,-22.445684
44.772446,-84.965515
-52.21337,-66.88385
4.897942,-16.663952
17.826252,-21.051716
-130.15312,-18.702307
17.30079,-55.12343
-23.919374,-12.835245
120.156075,-56.30787
105.30253,-41.4964
-43.02615,-59.78353
9.628316,-69.28402
77.38559,-61.56954
-149.33577,-13.438205
-131.77159,12.514711
-60.543724,-92.762474
108.97887,-13.936467
-60.613327,27.905224
48.451126,-70.38145
1.3067873,18.204472
-65.22941,28.120657
27.128742,27.916283
-114.67476,-46.9992
-85.00805,-113.41625
-24.924109,17.561419
44.46287,7.915775
1.6754357,-43.52907
25.734413,-110.654724
-14.802858,23.857256
-65.228546,28.119944
112.77298,-96.730606
-28.957336,-117.78255
-135.84755,34.379395
-23.833635,7.949413
126.99948,-0.90554315
0.42203093,-5.6964192
28.024382,-103.83861
-41.20583,-22.331318
22.474396,-1.3129507
117.934006,-29.096956
-102.94651,-14.700154
-90.77158,-102.148766
-0.95776075,-148.21445
52.76306,-8.201061
-2.1884124,9.848728
101.65183,-13.779411
-40.583282,-43.476982
-6.553414,-110.67198
105.43185,-86.83614
19.65498,-74.08741
6.748999,-37.447235
-13.3317795,15.778883
111.00783,-0.8439815
-30.931236,12.096416
41.86588,-49.85995
-67.568855,-90.77282
-12.036709,-102.61232
52.07689,6.371953
-149.33577,-13.438205
-139.0044,50.02813
6.3532634,-52.14985
120.156075,-56.30787
8.923233,-130.09532
25.639608,3.6918125
-55.268223,-44.54953
-6.597621,21.27613
51.956455,21.144838
-87.89553,-65.16422
-80.44906,-28.229837
-7.5014386,23.427294
19.817232,28.67293
-2.2583005,9.744764
27.580227,-104.10821
-18.297073,-96.4976
-13.147759,15.747025
51.73813,8.052511
-114.89823,-38.39158
8.868912,-54.35701
68.817345,-62.75056
2.8557518,-107.48796
9.676541,22.829868
1.5366664,22.383701
-59.011726,37.51236
103.176254,-58.49477
-131.1485,-2.5493882
-85.00805,-113.41625
-55.593304,-44.951927
60.706978,-89.15229
-30.625128,12.754605
99.1225,-74.04296
-58.12936,38.462788
-12.901399,-103.33282
38.00414,-61.120277
-96.65238,-40.690964
-142.16359,-38.149837
-65.79138,22.251095
36.583916,-9.162347
-7.1004877,10.461633
121.43991,-69.61144
-49.642635,-72.735855
-54.974472,20.408657
48.378418,15.07293
-131.14851,-2.5494182
-42.965664,-135.8797
-5.461212,-75.6107
