Aging,Gender,Customer_Login_type,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method,Gender_enc,Login_enc,Payment_enc,Priority_enc
8.0,Female,Member,140.0,1.0,0.3,46.0,4.6,Medium,credit_card,0,2,0,3
2.0,Female,Member,211.0,1.0,0.3,112.0,11.2,Medium,credit_card,0,2,0,3
8.0,Female,Member,117.0,5.0,0.1,31.2,3.1,Critical,credit_card,0,2,0,0
7.0,Female,Member,118.0,1.0,0.3,26.2,2.6,High,credit_card,0,2,0,1
9.0,Female,Member,250.0,1.0,0.3,160.0,16.0,Critical,credit_card,0,2,0,0
8.0,Female,Member,72.0,1.0,0.3,24.0,2.4,Critical,credit_card,0,2,0,0
1.0,Female,Member,54.0,1.0,0.3,54.0,5.4,High,credit_card,0,2,0,1
7.0,Female,Member,114.0,5.0,0.2,22.6,2.3,Critical,credit_card,0,2,0,0
7.0,Female,Member,231.0,5.0,0.3,116.4,11.6,Critical,credit_card,0,2,0,0
10.0,Female,Member,140.0,1.0,0.2,54.4,5.4,Critical,money_order,0,2,3,0
10.0,Female,Member,211.0,4.0,0.1,122.6,12.3,Critical,credit_card,0,2,0,0
1.0,Female,Member,117.0,4.0,0.3,18.3,1.8,High,credit_card,0,2,0,1
7.0,Female,Member,118.0,1.0,0.2,35.6,3.6,Critical,credit_card,0,2,0,0
5.0,Female,Member,250.0,1.0,0.3,140.0,14.0,High,credit_card,0,2,0,1
9.0,Female,Member,72.0,4.0,0.1,18.0,1.8,Medium,credit_card,0,2,0,3
10.0,Female,Member,54.0,1.0,0.1,27.0,2.7,Critical,credit_card,0,2,0,0
4.0,Female,Member,114.0,1.0,0.3,22.6,2.3,High,credit_card,0,2,0,1
7.0,Female,Member,231.0,5.0,0.3,93.3,9.3,High,credit_card,0,2,0,1
7.0,Female,Member,140.0,1.0,0.3,46.0,4.6,Critical,credit_card,0,2,0,0
6.0,Female,Member,211.0,1.0,0.2,122.6,12.3,Critical,credit_card,0,2,0,0
